institution,established,graduate,registered,enrolled,active
Ανωτάτη Σχολή Καλών Τεχνών,31/12/1836,195,2120,671,1333
Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης,14/06/1925,6568,72285,7888,38893
ΑΣΠΑΙΤΕ,28/06/2002,178,3601,183,2671
Γεωπονικό Πανεπιστήμιο Αθηνών,22/01/1920,911,13318,832,7232
Δημοκρίτειο Πανεπιστήμιο Θράκης,27/07/1973,3593,25605,4269,16922
Διεθνές Πανεπιστήμιο της Ελλάδος,07/05/2019,3255,53944,7712,27417
Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,24/04/1837,7329,100963,11108,42192
Εθνικό Μετσόβιο Πολυτεχνείο,20/06/1857,1392,20292,1695,10759
Ελληνικό Ανοικτό Πανεπιστήμιο,21/09/1991,2000,14464,3171,11634
Ελληνικό Μεσογειακό Πανεπιστήμιο,07/05/2019,1160,19909,1547,9668
Ιόνιο Πανεπιστήμιο,07/03/1984,622,12162,1885,7555
Οικονομικό Πανεπιστήμιο Αθηνών,18/06/1920,1385,22685,1825,9618
Πανεπιστήμιο Αιγαίου,20/03/1984,1702,17688,2327,10830
Πανεπιστήμιο Δυτικής Αττικής,02/03/2018,3867,54060,5190,30078
Πανεπιστήμιο Δυτικής Μακεδονίας,07/05/2019,1371,36237,2550,16993
Πανεπιστήμιο Θεσσαλίας,20/03/1984,4839,41418,4563,23346
Πανεπιστήμιο Ιωαννίνων,12/12/1970,3114,31186,4354,18583
Πανεπιστήμιο Κρήτης,27/07/1973,1884,20672,2226,13217
Πανεπιστήμιο Μακεδονίας,28/09/1948,1478,12601,2048,9076
Πανεπιστήμιο Πατρών,11/11/1964,4416,51939,5767,30881
Πανεπιστήμιο Πειραιώς,22/12/1938,1665,24323,2269,10360
Πανεπιστήμιο Πελοποννήσου,01/02/2000,1761,22356,3217,13983
Πάντειον Πανεπιστήμιο Κοινωνικών και Πολιτικών Επιστημών,18/10/1934,1763,20584,2190,9659
Πολυτεχνείο Κρήτης,17/02/1977,397,6337,559,4471
Στρατιωτική Σχολή Ευελπίδων,21/12/1828,166,783,241,783
Σχολή Ικάρων,12/11/1964,67,329,207,329
Σχολή Ναυτικών Δοκίμων,24/11/1845,38,159,68,159
Χαροκόπειο Πανεπιστήμιο,27/08/1990,261,3298,450,2188
