institution,established,gradutes,registed_students,freshmen,active_students
 Ανωτάτη Σχολή Καλών Τεχνών,31/12/1836,215,2.147,223,1.426
 Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης,14/06/1925,7.327,73.948,9.095,42.220
 ΑΣΠΑΙΤΕ,28/06/2002,153,3.630,460,2.639
 Γεωπονικό Πανεπιστήμιο Αθηνών,22/01/1920,701,13.442,1.532,7.900
 Δημοκρίτειο Πανεπιστήμιο Θράκης,27/07/1973,2.613,23.547,4.639,15.742
 Διεθνές Πανεπιστήμιο της Ελλάδος,07/05/2019,3.406,55.561,7.841,31.281
 Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,24/04/1837,7.408,100.627,9.350,43.206
 Εθνικό Μετσόβιο Πολυτεχνείο,20/06/1857,1.416,19.965,1.727,10.773
 Ελληνικό Ανοικτό Πανεπιστήμιο,21/09/1991,1.978,14.971,3.018,11.913
 Ελληνικό Μεσογειακό Πανεπιστήμιο,07/05/2019,1.013,20.645,2.346,10.400
 Ιόνιο Πανεπιστήμιο,07/03/1984,678,10.911,1.578,7.276
 Οικονομικό Πανεπιστήμιο Αθηνών,18/06/1920,1.559,22.863,2.018,9.953
 Πανεπιστήμιο Αιγαίου,20/03/1984,1.606,17.163,3.132,11.353
 Πανεπιστήμιο Δυτικής Αττικής,02/03/2018,3.516,53.410,6.011,30.620
 Πανεπιστήμιο Δυτικής Μακεδονίας,07/05/2019,1.283,32.066,4.934,16.243
 Πανεπιστήμιο Θεσσαλίας,20/03/1984,3.536,42.760,5.786,25.373
 Πανεπιστήμιο Ιωαννίνων,12/12/1970,3.104,30.401,4.639,18.403
 Πανεπιστήμιο Κρήτης,27/07/1973,1.938,20.977,2.870,13.977
 Πανεπιστήμιο Μακεδονίας,28/09/1948,2.185,12.159,2.164,8.809
 Πανεπιστήμιο Πατρών,11/11/1964,4.573,56.024,7.838,36.738
 Πανεπιστήμιο Πειραιώς,22/12/1938,2.372,24.024,2.378,10.847
 Πανεπιστήμιο Πελοποννήσου,01/02/2000,1.406,23.703,4.232,15.125
 Πάντειον Πανεπιστήμιο Κοινωνικών και Πολιτικών Επιστημών,18/10/1934,1.801,21.534,2.232,9.977
 Πολυτεχνείο Κρήτης,17/02/1977,359,6.290,712,4.693
 Στρατιωτική Σχολή Ευελπίδων,21/12/1828,230,776,199,776
 Σχολή Ικάρων,12/11/1964,59,302,81,302
 Σχολή Ναυτικών Δοκίμων,24/11/1845,43,137,45,137
 Χαροκόπειο Πανεπιστήμιο,27/08/1990,250,3.214,461,2.140
