institution,established,graduate,registered,enrolled,active
Ανωτάτη Σχολή Καλών Τεχνών,31/12/1836,109,1874,356,1452
Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης,14/06/1925,6461,71972,7027,37623
ΑΣΠΑΙΤΕ,28/06/2002,194,3640,158,2175
Γεωπονικό Πανεπιστήμιο Αθηνών,22/01/1920,907,13225,923,6897
Δημοκρίτειο Πανεπιστήμιο Θράκης,27/07/1973,2727,24659,3249,16143
Διεθνές Πανεπιστήμιο της Ελλάδος,07/05/2019,3650,54277,4856,26261
Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,24/04/1837,6591,100823,7822,40494
Εθνικό Μετσόβιο Πολυτεχνείο,20/06/1857,1311,20562,1635,10585
Ελληνικό Ανοικτό Πανεπιστήμιο,21/09/1991,1857,13084,2818,10432
Ελληνικό Μεσογειακό Πανεπιστήμιο,07/05/2019,1134,20671,1601,9005
Ιόνιο Πανεπιστήμιο,07/03/1984,635,10978,1055,6503
Οικονομικό Πανεπιστήμιο Αθηνών,18/06/1920,1488,21161,1742,8722
Πανεπιστήμιο Αιγαίου,20/03/1984,1308,17688,2102,10712
Πανεπιστήμιο Δυτικής Αττικής,02/03/2018,3081,54433,4926,28700
Πανεπιστήμιο Δυτικής Μακεδονίας,07/05/2019,1977,36568,3020,16942
Πανεπιστήμιο Θεσσαλίας,20/03/1984,3965,38499,4768,22030
Πανεπιστήμιο Ιωαννίνων,12/12/1970,3044,30244,3586,17154
Πανεπιστήμιο Κρήτης,27/07/1973,1831,20475,2055,12451
Πανεπιστήμιο Μακεδονίας,28/09/1948,1722,12737,2032,9004
Πανεπιστήμιο Πατρών,11/11/1964,4389,50942,5578,29333
Πανεπιστήμιο Πειραιώς,22/12/1938,1624,25039,2252,10649
Πανεπιστήμιο Πελοποννήσου,01/02/2000,1707,22046,3080,13151
Πάντειον Πανεπιστήμιο Κοινωνικών και Πολιτικών Επιστημών,18/10/1934,1631,20146,1820,9125
Πολυτεχνείο Κρήτης,17/02/1977,377,6501,700,4292
Στρατιωτική Σχολή Ευελπίδων,21/12/1828,177,626,191,626
Σχολή Ικάρων,12/11/1964,86,415,156,415
Σχολή Ναυτικών Δοκίμων,24/11/1845,48,159,50,159
Χαροκόπειο Πανεπιστήμιο,27/08/1990,258,3434,420,2174
