institution,academic_year,programme,established,graduate,registered,enrolled,active
Athens School of Fine Arts,2020-2021,Fine Arts,03/07/1990,99,1570,140,983
Athens School of Fine Arts,2020-2021,Art Theory and History,07/09/2009,116,577,83,443
Aristotle University of Thessaloniki,2020-2021,English Language and Literature,03/05/1983,223,1557,227,806
Aristotle University of Thessaloniki,2020-2021,Agricultural and Surveying Engineering,24/10/1962,75,937,125,593
Aristotle University of Thessaloniki,2020-2021,Architectural Engineering,03/05/1983,142,1297,161,973
Aristotle University of Thessaloniki,2020-2021,Biology,11/04/1973,103,975,166,556
Aristotle University of Thessaloniki,2020-2021,French Language and Literature,26/08/1982,60,792,68,375
Aristotle University of Thessaloniki,2020-2021,German Language and Literature,14/09/1981,113,1238,115,626
Aristotle University of Thessaloniki,2020-2021,Geology,05/04/1973,81,1506,146,647
Aristotle University of Thessaloniki,2020-2021,Agriculture,30/06/1928,302,3089,289,1668
Aristotle University of Thessaloniki,2020-2021,Forestry and Natural Environment,14/09/1917,99,1459,153,911
Aristotle University of Thessaloniki,2020-2021,Journalism and Mass Media,27/07/1991,47,1227,143,1046
Aristotle University of Thessaloniki,2020-2021,Fine and Applied Arts,03/05/1984,114,1103,290,750
Aristotle University of Thessaloniki,2020-2021,Introductory Direction of Muslim Studies,19/04/2016,21,242,62,242
Aristotle University of Thessaloniki,2020-2021,Physical Education and Sports Science,01/09/1983,296,2414,315,1125
Aristotle University of Thessaloniki,2020-2021,Physical Education and Sports Science,08/02/1985,129,830,189,468
Aristotle University of Thessaloniki,2020-2021,Preschool Education Sciences,09/07/1983,195,1628,228,1110
Aristotle University of Thessaloniki,2020-2021,Electrical and Computer Engineering,01/09/1976,242,2828,315,1807
Aristotle University of Thessaloniki,2020-2021,Theater,03/05/1984,42,912,100,589
Aristotle University of Thessaloniki,2020-2021,Theology,25/10/1982,205,4326,274,1145
Aristotle University of Thessaloniki,2020-2021,Medicine,18/02/1942,321,2505,332,1738
Aristotle University of Thessaloniki,2020-2021,History and Archaeology,12/03/2020,280,1947,235,1100
Aristotle University of Thessaloniki,2020-2021,Italian Language and Literature,01/09/1960,85,949,78,395
Aristotle University of Thessaloniki,2020-2021,Cinema,22/07/2004,75,898,112,623
Aristotle University of Thessaloniki,2020-2021,Social Theology and Christian Culture,06/10/1994,120,2088,404,1201
Aristotle University of Thessaloniki,2020-2021,Veterinary Medicine,17/10/1950,143,734,141,695
Aristotle University of Thessaloniki,2020-2021,Mathematics,18/10/1928,241,2853,242,1174
Aristotle University of Thessaloniki,2020-2021,Spatial Planning and Development Engineering,22/07/2004,101,766,133,624
Aristotle University of Thessaloniki,2020-2021,Mechanical Engineering,10/09/1976,123,1935,188,1122
Aristotle University of Thessaloniki,2020-2021,Music Studies,03/05/1984,50,753,76,452
Aristotle University of Thessaloniki,2020-2021,Law,07/08/1930,338,4992,523,2258
Aristotle University of Thessaloniki,2020-2021,Dentistry,07/09/1959,125,2527,124,2397
Aristotle University of Thessaloniki,2020-2021,Economic Sciences,19/11/1927,528,4655,548,1916
Aristotle University of Thessaloniki,2020-2021,Primary Education Pedagogy,16/07/1982,358,1792,339,1241
Aristotle University of Thessaloniki,2020-2021,Informatics,30/05/1991,129,1639,233,1107
Aristotle University of Thessaloniki,2020-2021,Political Sciences,06/09/1999,142,1289,178,873
Aristotle University of Thessaloniki,2020-2021,Civil Engineering,08/10/1955,158,2197,220,1254
Aristotle University of Thessaloniki,2020-2021,Pharmacy,22/03/1993,88,1015,141,785
Aristotle University of Thessaloniki,2020-2021,Philology,01/09/1984,310,1940,298,1174
Aristotle University of Thessaloniki,2020-2021,Philosophy and Pedagogy,27/04/1993,187,1328,261,957
Aristotle University of Thessaloniki,2020-2021,Physics,27/08/1982,269,2608,258,1080
Aristotle University of Thessaloniki,2020-2021,Chemistry,03/07/2009,249,1560,221,863
Aristotle University of Thessaloniki,2020-2021,Chemical Engineering,28/06/1972,118,1186,160,730
Aristotle University of Thessaloniki,2020-2021,Psychology,27/04/1993,300,1432,284,1024
School of Pedagogical and Technological Education (ASPETE),2020-2021,Educational Electrical Engineering,05/06/2013,24,920,119,672
School of Pedagogical and Technological Education (ASPETE),2020-2021,Educational Electronic Engineering,05/06/2013,33,946,116,685
School of Pedagogical and Technological Education (ASPETE),2020-2021,Educational Mechanical Engineering,05/06/2013,38,947,124,685
School of Pedagogical and Technological Education (ASPETE),2020-2021,Educational Civil Engineering,01/09/2013,58,817,101,597
Agricultural University of Athens,2020-2021,Agricultural Economy and Development,28/03/1985,75,1316,151,831
Agricultural University of Athens,2020-2021,Natural Resources Utilization and Agricultural Engineering,16/06/1989,51,1277,131,775
Agricultural University of Athens,2020-2021,Biotechnology,16/06/1989,72,919,144,733
Agricultural University of Athens,2020-2021,Forestry and Natural Environment Management,29/01/2019,10,272,144,272
Agricultural University of Athens,2020-2021,Agricultural Business Management and Supply Systems,29/01/2019,0,527,267,527
Agricultural University of Athens,2020-2021,Animal Production Science,16/06/1989,67,1139,140,822
Agricultural University of Athens,2020-2021,Food Science and Human Nutrition,16/06/1989,84,924,144,710
Agricultural University of Athens,2020-2021,Plant Production Science,28/03/1985,128,2091,215,1246
Agricultural University of Athens,2020-2021,Regional and Economic Development,29/01/2019,0,312,196,312
Agricultural University of Athens,2020-2021,Forestry and Natural Environment Management,22/08/1994,20,646,0,353
Agricultural University of Athens,2020-2021,Supply Systems Management,23/06/2005,65,1914,0,689
Agricultural University of Athens,2020-2021,"Management, Economy and Communication of Cultural and Tourist Units",05/06/2013,129,2105,0,630
Democritus University of Thrace,2020-2021,Agricultural Development,06/09/1999,139,1124,190,806
Democritus University of Thrace,2020-2021,Architectural Engineering,06/09/1999,116,619,93,539
Democritus University of Thrace,2020-2021,"Language, Philology and Culture of Black Sea Countries",10/03/2000,58,815,151,326
Democritus University of Thrace,2020-2021,Forestry and Environment and Natural Resources Management,06/09/1999,67,925,160,653
Democritus University of Thrace,2020-2021,Greek Philology,13/09/1993,212,999,196,684
Democritus University of Thrace,2020-2021,Physical Education and Sports Science,30/11/1983,200,1891,330,1215
Democritus University of Thrace,2020-2021,Preschool Education Sciences,16/07/1982,107,1043,189,786
Democritus University of Thrace,2020-2021,Electrical and Computer Engineering,08/10/1975,111,1522,259,1004
Democritus University of Thrace,2020-2021,Medicine,22/07/1977,135,962,171,771
Democritus University of Thrace,2020-2021,History and Ethnology,10/04/1990,278,1159,211,699
Democritus University of Thrace,2020-2021,Social Work,07/05/2019,179,783,201,710
Democritus University of Thrace,2020-2021,Social Policy,07/05/2019,65,745,246,439
Democritus University of Thrace,2020-2021,Production and Management Engineering,10/03/2000,62,951,138,769
Democritus University of Thrace,2020-2021,Environmental Engineering,13/09/1993,104,1030,101,701
Democritus University of Thrace,2020-2021,Molecular Biology and Genetics,06/09/1999,62,613,145,447
Democritus University of Thrace,2020-2021,Law,25/05/1974,313,4006,780,1964
Democritus University of Thrace,2020-2021,Economic Sciences,06/09/1999,189,1044,356,1010
Democritus University of Thrace,2020-2021,Primary Education Pedagogy,16/07/1982,36,1158,329,813
Democritus University of Thrace,2020-2021,Political Science,01/09/2019,99,756,188,606
Democritus University of Thrace,2020-2021,Civil Engineering,25/05/1974,81,1402,205,800
International Hellenic University,2020-2021,Agricultural Biotechnology and Oenology,07/05/2019,0,165,173,165
International Hellenic University,2020-2021,Early Childhood Care and Education,07/05/2019,73,591,560,530
International Hellenic University,2020-2021,"Library Science, Archival Science and Information Systems",07/05/2019,24,254,240,254
International Hellenic University,2020-2021,Biomedical Sciences,07/05/2019,57,528,317,528
International Hellenic University,2020-2021,Agriculture,07/05/2019,15,938,370,938
